"";"user_genome";"Domain";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"33";"AS_TE.13";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Tissierellales";"f__Tepidimicrobiaceae";"g__";"s__"
"34";"AS_TE.53";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Tissierellales";"f__";"g__";"s__"
"35";"AS_TE.58";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Lutisporales";"f__Lutisporaceae";"g__";"s__"
"36";"AS_TE.11";"d__Bacteria";"p__Firmicutes_A";"c__Mahellia";"o__Caldicoprobacterales";"f__DTU083";"g__UBA3906";"s__"
"37";"AS_TE.23";"d__Bacteria";"p__Firmicutes_G";"c__Limnochordia";"o__DTU010";"f__DTU010";"g__UBA5420";"s__"
"38";"AS_TE.37";"d__Bacteria";"p__Firmicutes_G";"c__Limnochordia";"o__DTU010";"f__DTU010";"g__";"s__"
"39";"AS_TE.40";"d__Bacteria";"p__Firmicutes_G";"c__Limnochordia";"o__DTU010";"f__DTU012";"g__";"s__"
"40";"AS_TE.51";"d__Bacteria";"p__Firmicutes_G";"c__Limnochordia";"o__DTU087";"f__DTU087";"g__";"s__"
"41";"AS_TE.60";"d__Bacteria";"p__Firmicutes_G";"c__DTU065";"o__DTU065";"f__DTU065";"g__UBA4881";"s__"
"42";"AS_TE.7";"d__Bacteria";"p__Firmicutes_G";"c__SHA-98";"o__UBA4971";"f__UBA4971";"g__UBA4971";"s__"
"43";"AS_TE.68";"d__Bacteria";"p__Firmicutes_G";"c__SHA-98";"o__DTUO25";"f__DTU025";"g__UBA10085";"s__"
"44";"AS_TE.48";"d__Bacteria";"p__Firmicutes_G";"c__SHA-98";"o__DTUO25";"f__DTU025";"g__UBA10085";"s__"
"45";"AS_TE.8";"d__Bacteria";"p__Firmicutes_E";"c__DTU015";"o__D8A-2";"f__D2";"g__DTU015";"s__"
"46";"AS_TE.59";"d__Bacteria";"p__Firmicutes_E";"c__DTU015";"o__D8A-2";"f__D2";"g__DTU015";"s__"
"47";"AS_TE.66";"d__Bacteria";"p__DTU030";"c__DTU030";"o__DTU030";"f__";"g__";"s__"
"48";"AS_TE.30";"d__Bacteria";"p__Firmicutes_B";"c__Syntrophomonadia";"o__Syntrophomonadales";"f__Syntrophomonadaceae";"g__UBA4844";"s__"
"49";"AS_TE.39";"d__Bacteria";"p__Firmicutes_B";"c__Syntrophomonadia";"o__Syntrophomonadales";"f__Syntrophomonadaceae";"g__";"s__"
"50";"AS_TE.29";"d__Bacteria";"p__Firmicutes";"c__Bacilli";"o__RFN20";"f__CAG-826";"g__UBA1361";"s__"
"51";"AS_TE.36";"d__Bacteria";"p__Firmicutes";"c__Bacilli";"o__RFN20";"f__CAG-826";"g__";"s__"
"52";"AS_TE.64";"d__Bacteria";"p__Firmicutes";"c__Bacilli";"o__RF39";"f__CAG-822";"g__UBA5364";"s__"
"53";"AS_TE.54";"d__Bacteria";"p__Firmicutes";"c__Bacilli";"o__RF39";"f__CAG-822";"g__";"s__"
"54";"AS_TE.17";"d__Bacteria";"p__Firmicutes";"c__Bacilli";"o__Acholeplasmatales";"f__";"g__";"s__"
"55";"AS_TE.62";"d__Bacteria";"p__Firmicutes";"c__Bacilli";"o__Acholeplasmatales";"f__Acholeplasmataceae_A";"g__UBA5453";"s__"
"56";"AS_TE.18";"d__Bacteria";"p__Firmicutes";"c__Bacilli";"o__ML615J-28";"f__";"g__";"s__"
"57";"AS_TE.12";"d__Bacteria";"p__Patescibacteria";"c__Paceibacteria";"o__Paceibacterales";"f__UBA5633";"g__";"s__"
"58";"AS_TE.6";"d__Bacteria";"p__Patescibacteria";"c__Dojkabacteria";"o__SC72";"f__SC72";"g__UBA5232";"s__"
"59";"AS_TE.65";"d__Bacteria";"p__Patescibacteria";"c__Dojkabacteria";"o__SC72";"f__SC72";"g__UBA5232";"s__"
"60";"AS_TE.15";"d__Bacteria";"p__Chloroflexota";"c__Anaerolineae";"o__Anaerolineales";"f__Anaerolineaceae";"g__T78";"s__"
"61";"AS_TE.74";"d__Bacteria";"p__Spirochaetota";"c__Spirochaetia";"o__Treponematales";"f__Treponemataceae";"g__";"s__"
"62";"AS_TE.46";"d__Bacteria";"p__Spirochaetota";"c__Spirochaetia";"o__Sphaerochaetales";"f__Sphaerochaetaceae";"g__UBA8525";"s__"
"63";"AS_TE.14";"d__Bacteria";"p__Bacteroidota";"c__Bacteroidia";"o__Bacteroidales";"f__Dysgonomonadaceae";"g__Fermentimonas";"s__"
"64";"AS_TE.32";"d__Bacteria";"p__Bacteroidota";"c__Bacteroidia";"o__Bacteroidales";"f__Dysgonomonadaceae";"g__UBA4179";"s__"
"65";"AS_TE.16";"d__Bacteria";"p__Bacteroidota";"c__Bacteroidia";"o__Bacteroidales";"f__Paludibacteraceae";"g__Paludibacter";"s__"
"66";"AS_TE.71";"d__Bacteria";"p__Bacteroidota";"c__Bacteroidia";"o__Bacteroidales";"f__Paludibacteraceae";"g__";"s__"
"67";"AS_TE.35";"d__Bacteria";"p__Bacteroidota";"c__Bacteroidia";"o__Bacteroidales";"f__Paludibacteraceae";"g__";"s__"
"68";"AS_TE.72";"d__Bacteria";"p__Bacteroidota";"c__Bacteroidia";"o__Bacteroidales";"f__Paludibacteraceae";"g__";"s__"
"69";"AS_TE.3";"d__Bacteria";"p__Bacteroidota";"c__Bacteroidia";"o__Bacteroidales";"f__Paludibacteraceae";"g__";"s__"
"70";"AS_TE.19";"d__Bacteria";"p__Cloacimonadota";"c__Cloacimonadia";"o__Cloacimonadales";"f__Cloacimonadaceae";"g__UBA5456";"s__"
"71";"AS_TE.42";"d__Archaea";"p__Halobacterota";"c__Methanomicrobia";"o__Methanomicrobiales";"f__Methanocullaceae";"g__Methanoculleus";"s__Methanoculleus bourgensis"
"72";"AS_TE.24";"d__Archaea";"p__Nanohaloarchaeota";"c__Nanosalinia";"o__";"f__";"g__";"s__"
"73";"AS_TE.22";"d__Archaea";"p__Halobacterota";"c__Methanomicrobia";"o__Methanomicrobiales";"f__Methanocullaceae";"g__Methanoculleus";"s__"
